MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,24,1.9316,2.2805,1.5302,19.74,42.15,3.0687,4.3379
,,25,1.9477,2.2914,1.517,19.57,41.89,3.0548,4.3048
,,26,1.9583,2.3166,1.5103,19.47,41.71,3.0635,4.2767
,,27,1.9528,2.3236,1.5116,19.49,41.76,3.0912,4.2755
,,28,1.9441,2.3202,1.5072,19.45,41.66,3.085,4.2498
,Dec,1,1.9284,2.3329,1.5225,19.64,41.96,3.1231,4.2665
,,2,1.9289,2.2766,1.5283,19.72,41.99,3.089,4.2738
,,3,1.9453,2.2792,1.5272,19.7,41.96,3.1015,4.305
,,4,1.9384,2.253,1.5247,19.67,41.93,3.0987,4.2745
,,5,1.9456,2.2371,1.5238,19.66,41.89,3.0859,4.2618
,,9,1.9451,2.2417,1.5111,19.5,41.63,3.119,4.265
,,10,1.9459,2.2194,1.5019,19.38,41.52,3.1137,4.2385
,,11,1.9512,2.2226,1.4944,19.28,41.66,3.114,4.2412
,,12,1.9941,2.2462,1.4898,19.22,41.97,3.106,4.2554
,,15,1.9913,2.2217,1.4784,19.08,41.46,3.0952,4.2355
,,16,2.0174,2.2527,1.4713,18.98,41.39,3.1086,4.2236
,,17,2.0537,2.2764,1.4579,18.81,41.28,3.1049,4.2179
,,18,2.073,2.2306,1.4368,18.54,41.25,3.078,4.1725
,,19,2.0677,2.1949,1.4478,18.68,41.75,3.086,4.1935
,,22,2.0295,2.1632,1.452,18.73,41.72,3.0711,4.202
,,23,2.0323,2.1528,1.4499,18.71,41.61,3.0531,4.1917
,,24,2.0211,2.1406,1.4476,18.68,41.66,3.0418,4.1778
,,26,2.0275,2.1322,1.4433,18.62,41.48,3.0321,4.1326
,,29,2.0417,2.1192,1.4421,18.61,41.44,3.0296,4.1132
,,30,2.0372,2.0955,1.4434,18.62,41.45,3.0613,4.121
,,31,2.0258,2.0769,1.4392,18.57,41.55,3.0235,4.1297
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2009,Jan,2,2.0174,2.1292,1.4525,18.74,41.84,3.0515,4.1679
,,5,2.0283,2.1161,1.4607,18.84,41.97,3.0878,4.1944
,,6,1.9996,2.1546,1.4694,18.95,42,3.1287,4.1965
,,7,1.9923,2.1968,1.4722,18.99,42.09,3.1652,4.2081
,,8,2.0136,2.2295,1.481,19.1,41.97,3.1588,4.2408
,,9,2.0182,2.2448,1.4785,19.05,41.74,3.1321,4.2431
,,12,1.9928,2.2448,1.4877,19.18,41.65,3.1323,4.2579
,,13,1.9862,2.2001,1.4899,19.21,41.65,3.1403,4.2605
,,14,1.9719,2.1634,1.4873,19.17,41.62,3.1564,4.2616
,,15,1.9702,2.1853,1.497,19.3,41.66,3.1646,4.29
,,16,1.9713,2.1997,1.489,19.19,41.59,3.152,4.2738
,,19,1.9873,2.2141,1.4866,19.16,41.64,3.167,4.2565
,,20,1.9568,2.1471,1.5018,19.36,41.65,3.1717,4.2927
,,21,1.9534,2.1042,1.5045,19.39,41.67,3.1727,4.3053
,,22,1.9474,2.0841,1.4957,19.28,41.44,3.158,4.2814
,,23,1.9486,2.0769,1.5046,19.39,41.52,3.1806,4.3093
,,28,1.9864,2.1335,1.5012,19.35,41.59,3.1964,4.2996
,,29,1.972,2.1321,1.504,19.39,41.78,3.1942,4.3064
,,30,1.9447,2.141,1.5082,19.45,41.79,3.185,4.3184
,Feb,2,1.9273,2.1758,1.5158,19.54,41.94,3.1816,4.3333
,,3,1.9464,2.1515,1.5077,19.45,41.68,3.172,4.3151
,,4,1.9604,2.1678,1.5078,19.44,41.74,3.185,4.3148
,,5,1.9376,2.1784,1.5088,19.46,41.66,3.1838,4.3183
,,6,1.9269,2.2014,1.5066,19.43,41.76,3.1903,4.3021
,,9,1.9365,2.2079,1.497,19.31,41.59,3.1797,4.271
,,10,1.9228,2.2209,1.5008,19.36,41.78,3.1883,4.2856
,,11,1.9434,2.1885,1.5087,19.46,41.76,3.208,4.3038
,,12,1.9447,2.1652,1.5082,19.46,41.77,3.2001,4.292
,,13,1.9506,2.1702,1.5079,19.45,41.7,3.1994,4.2887
,,16,1.9341,2.1548,1.5133,19.52,41.85,3.1997,4.3034
,,17,1.9259,2.1644,1.5235,19.65,41.94,3.1882,4.3214
,,18,1.925,2.1764,1.5284,19.71,41.8,3.1955,4.3267
,,19,1.9251,2.1832,1.5291,19.72,41.8,3.1896,4.314
,,20,1.9355,2.1838,1.5343,19.79,41.81,3.1842,4.2984
,,23,1.9667,2.212,1.5227,19.64,41.58,3.165,4.2772
,,24,1.9473,2.2291,1.5316,19.75,41.73,3.1746,4.2824
,,25,1.9585,2.2174,1.5282,19.71,41.66,3.1748,4.2729
,,26,1.9547,2.1876,1.5343,19.79,41.77,3.1819,4.2643
,,27,1.9599,2.1998,1.5412,19.88,41.74,3.1657,4.2775
,Mar,2,1.9532,2.21,1.5535,20.03,41.7,3.1636,4.2861
,,3,1.9568,2.1832,1.5486,19.96,41.74,3.1701,4.2797
,,4,1.9418,2.1777,1.5537,20.03,41.78,3.1884,4.2955
,,5,1.957,2.1961,1.5521,20,41.73,3.188,4.2953
,,6,1.9495,2.1977,1.5502,19.99,41.67,3.1848,4.2853
,,9,1.958,2.1821,1.5451,19.92,41.56,3.1795,4.2842
,,10,1.9567,2.1373,1.5436,19.9,41.7,3.1939,4.2789
,,11,1.9495,2.1144,1.5393,19.85,41.69,3.186,4.2788
,,12,1.964,2.1224,1.5292,19.72,41.47,3.1646,4.2555
,,13,1.989,2.1423,1.539,19.85,41.65,3.1712,4.2774
,,16,1.987,2.1613,1.5407,19.87,41.68,3.1654,4.2904
,,17,1.9951,2.1666,1.5342,19.79,41.78,3.1721,4.2801
,,18,1.9951,2.1475,1.5287,19.72,41.7,3.1546,4.2725
,,19,2.0414,2.1565,1.5174,19.57,41.51,3.1429,4.2552
,,20,2.0626,2.1879,1.5094,19.47,41.4,3.1265,4.2632
,,23,2.0652,2.193,1.51,19.48,41.41,3.1351,4.2855
,,24,2.0552,2.2059,1.5042,19.41,41.52,3.1331,4.2612
,,25,2.0422,2.2233,1.5142,19.54,41.7,3.136,4.2657
,,26,2.0478,2.2016,1.5093,19.47,41.59,3.1346,4.2593
,,27,2.0442,2.1807,1.5065,19.44,41.66,3.1271,4.2683
,,30,2.0138,2.1614,1.5187,19.6,41.77,3.1352,4.2798
,,31,2.0153,2.1771,1.5194,19.6,41.66,3.1389,4.277
,Apr,1,2.0098,2.1755,1.5213,19.63,41.69,3.1471,4.2823
,,2,2.0114,2.1967,1.5155,19.55,41.77,3.1491,4.2708
,,3,2.0236,2.2176,1.5052,19.42,41.96,3.1322,4.264
,,6,2.0351,2.2391,1.4997,19.35,42.2,3.1361,4.2394
,,7,2.0175,2.2166,1.5093,19.47,42.13,3.1493,4.263
,,8,2.0043,2.231,1.5183,19.59,41.8,3.1572,4.2673
,,9,2.0086,2.2286,1.5142,19.54,41.87,3.1612,4.2768
,,13,1.9931,2.2179,1.5136,19.53,41.86,3.1645,4.2751
,,14,2.0018,2.2302,1.5016,19.37,41.76,3.1421,4.2412
,,15,1.9931,2.2382,1.5049,19.42,41.6,3.1408,4.2505
,,16,1.9796,2.247,1.4979,19.33,41.75,3.1439,4.2337
,,17,1.9658,2.2296,1.4975,19.32,41.57,3.1365,4.2272
,,20,1.9596,2.2206,1.5069,19.44,41.51,3.1342,4.2394
,,21,1.9535,2.1948,1.5098,19.48,41.39,3.1201,4.2374
,,22,1.949,2.2061,1.5078,19.45,41.41,3.1089,4.2396
,,23,1.9576,2.1786,1.5063,19.44,41.36,3.081,4.2342
,,24,1.9674,2.1943,1.4962,19.31,41.62,3.0821,4.2212
,,27,1.967,2.1812,1.4947,19.29,41.49,3.079,4.2176
,,28,1.9547,2.1916,1.5005,19.36,41.44,3.0704,4.2274
,,29,1.9708,2.1984,1.4947,19.29,41.55,3.0724,4.2205
,,30,1.969,2.1925,1.4788,19.08,41.55,3.0573,4.1892
,May,4,1.9673,2.2084,1.4764,19.05,41.83,3.0666,4.1967
,,5,1.9725,2.2112,1.475,19.03,41.93,3.0772,4.1897
,,6,1.9622,2.2195,1.4792,19.09,41.78,3.0833,4.2005
,,7,1.9553,2.2252,1.4716,18.99,41.81,3.0952,4.204
,,8,1.966,2.2056,1.4701,18.97,41.62,3.1018,4.2153
,,11,1.9901,2.2179,1.4575,18.81,41.63,3.0971,4.2045
,,12,1.9873,2.2084,1.4605,18.84,41.46,3.0812,4.2217
,,13,1.9908,2.2261,1.454,18.76,41.42,3.074,4.2169
,,14,1.9915,2.2216,1.4694,18.96,41.36,3.0757,4.245
,,15,1.9968,2.2307,1.4646,18.9,41.32,3.0756,4.244
,,18,1.9808,2.2328,1.4736,19.01,41.28,3.0887,4.262
,,19,1.986,2.2455,1.4645,18.89,41.36,3.0913,4.2486
,,20,1.9932,2.267,1.4643,18.89,41.27,3.0915,4.2536
,,21,2.0077,2.299,1.4556,18.77,41.26,3.0819,4.2339
,,22,2.0148,2.2937,1.4467,18.66,41.38,3.0748,4.2153
,,25,2.0241,2.2979,1.4471,18.67,41.49,3.0717,4.2091
,,26,2.0243,2.3002,1.4485,18.69,41.49,3.0646,4.2077
,,27,2.0204,2.309,1.4455,18.65,41.45,3.0612,4.2051
,,28,2.0136,2.3197,1.4573,18.8,41.37,3.0574,4.2271
,,29,2.0284,2.3153,1.4505,18.71,41.35,3.054,4.219
,Jun,1,2.0393,2.3379,1.441,18.59,41.32,3.0546,4.2227
,,2,2.0408,2.3693,1.4402,18.58,41.33,3.0542,4.2216
,,3,2.0562,2.3841,1.4383,18.55,41.34,3.045,4.2278
,,4,2.0479,2.3524,1.4445,18.63,41.32,3.0504,4.233
,,5,2.0532,2.3313,1.4456,18.65,41.34,3.0575,4.2325
,,8,2.0347,2.3185,1.4548,18.77,41.42,3.0647,4.2371
,,9,2.0285,2.3416,1.4622,18.86,41.57,3.0638,4.2636
,,10,2.0405,2.3666,1.4495,18.7,41.26,3.0487,4.2489
,,11,2.0356,2.3806,1.4509,18.72,41.41,3.0425,4.258
,,12,2.0421,2.3972,1.4487,18.69,41.32,3.0403,4.2496
,,15,2.0324,2.3862,1.4567,18.79,41.34,3.0225,4.2612
,,16,2.0142,2.3706,1.4602,18.84,41.3,3.016,4.2708
,,17,2.0221,2.393,1.4585,18.82,41.31,3.0131,4.2702
,,18,2.0289,2.3821,1.4538,18.76,41.23,3.0003,4.2577
,,19,2.0279,2.3804,1.4569,18.8,41.2,3.0067,4.2668
,,22,2.0264,2.3995,1.4568,18.8,41.15,3.0107,4.2678
,,23,2.0255,2.386,1.4613,18.85,41.17,3.0065,4.2734
,,24,2.0492,2.3947,1.4545,18.77,41.13,3.0165,4.2623
,,25,2.0346,2.3961,1.4566,18.79,41.23,3.0192,4.2653
,,26,2.0434,2.3907,1.4552,18.78,41.14,3.0131,4.27
,,29,2.0408,2.3966,1.4544,18.77,41.15,3.0116,4.2682
,,30,2.0464,2.4129,1.4498,18.71,41.16,3.0091,4.2616
,Jul,1,2.033,2.3832,1.4485,18.69,41.13,3.0053,4.2515
,,2,2.0413,2.3816,1.4467,18.67,41.15,3.0108,4.2494
,,3,2.0296,2.3765,1.4514,18.73,41.17,3.0109,4.2569
,,6,2.0322,2.3681,1.4548,18.77,41.14,3.022,4.2682
,,7,2.0345,2.3689,1.4557,18.78,41.1,3.0203,4.2708
,,8,2.0336,2.3512,1.4621,18.86,41.03,3.0227,4.2839
,,9,2.0313,2.3506,1.4618,18.86,40.88,3.0304,4.2887
,,10,2.0388,2.3808,1.4588,18.82,40.84,3.0303,4.2805
,,13,2.0377,2.3595,1.4629,18.88,40.75,3.0247,4.2894
,,14,2.04,2.3717,1.4588,18.82,40.66,3.0209,4.2717
,,15,2.0358,2.3766,1.4556,18.78,40.76,3.0231,4.2674
,,16,2.0458,2.3838,1.4538,18.76,40.73,3.0275,4.269
,,17,2.051,2.3803,1.4532,18.75,40.65,3.0243,4.266
,,20,2.0474,2.3712,1.4461,18.66,40.67,3.0137,4.2489
,,21,2.0502,2.3829,1.4426,18.61,40.75,2.9998,4.2411
,,22,2.0499,2.369,1.444,18.63,40.66,3.0011,4.2464
,,23,2.0518,2.3759,1.4414,18.6,40.7,2.992,4.2463
,,24,2.044,2.3797,1.4433,18.62,40.8,2.9994,4.2444
,,27,2.0503,2.3706,1.4409,18.59,40.86,2.991,4.2417
,,28,2.053,2.3763,1.4412,18.6,40.93,2.9959,4.2432
,,29,2.0432,2.3702,1.4413,18.6,40.94,2.9965,4.2416
,,30,2.0333,2.3684,1.4465,18.66,40.86,3.0042,4.2463
,,31,2.0361,2.3815,1.4408,18.59,40.94,2.9976,4.2358
,Aug,3,2.0461,2.4038,1.437,18.54,40.94,2.9897,4.224
,,4,2.0632,2.4302,1.4336,18.5,41.07,2.9923,4.2208
,,5,2.0641,2.4275,1.4324,18.48,41.06,2.9935,4.2129
,,6,2.0642,2.4343,1.4336,18.5,41.02,3.0004,4.2214
,,7,2.0625,2.4086,1.4361,18.53,41,3.0035,4.2269
,,11,2.0435,2.3824,1.4449,18.64,41.11,3.025,4.2441
,,12,2.0488,2.3883,1.4487,18.69,41.1,3.0236,4.2553
,,13,2.0527,2.3815,1.4434,18.62,41.02,3.0096,4.2384
,,14,2.058,2.3902,1.4423,18.61,41.02,3.0051,4.2377
,,17,2.0477,2.3806,1.4465,18.66,40.89,2.9942,4.2475
,,18,2.0449,2.3701,1.4503,18.71,40.95,2.9996,4.2574
,,19,2.0487,2.3951,1.4491,18.69,40.98,2.9959,4.2571
,,20,2.0595,2.3922,1.4479,18.68,40.98,2.9851,4.2554
,,21,2.0554,2.3759,1.4438,18.63,40.91,2.9936,4.2434
,,24,2.0622,2.3763,1.4381,18.55,40.98,2.9765,4.2266
,,25,2.0622,2.3663,1.4418,18.6,41.03,2.9679,4.2375
,,26,2.0623,2.3551,1.442,18.61,40.88,2.9601,4.2393
,,27,2.059,2.3442,1.4455,18.65,40.9,2.9539,4.2483
,,28,2.0713,2.3469,1.4429,18.61,40.92,2.9556,4.2413
,,31,2.06,2.3409,1.4419,18.6,40.95,2.9502,4.2384
,Sep,1,2.067,2.3466,1.44,18.58,40.78,2.9484,4.2347
,,2,2.0541,2.3352,1.4447,18.64,40.79,2.9547,4.2447
,,3,2.057,2.3457,1.4412,18.59,40.77,2.9542,4.232
,,4,2.0543,2.353,1.4415,18.6,40.83,2.9606,4.2335
,,7,2.0535,2.3474,1.4328,18.49,40.73,2.9376,4.2067
,,8,2.0549,2.3425,1.4327,18.49,40.8,2.958,4.207
,,9,2.0657,2.3542,1.4255,18.39,40.79,2.9492,4.1902
,,10,2.075,2.3567,1.4235,18.37,40.75,2.9466,4.1849
,,11,2.0764,2.375,1.4224,18.35,40.76,2.9455,4.1878
,,14,2.0734,2.368,1.4247,18.38,40.72,2.943,4.1952
,,15,2.0797,2.3641,1.4226,18.36,40.61,2.9423,4.1934
,,16,2.0826,2.3369,1.4186,18.3,40.63,2.9484,4.1939
,,17,2.0793,2.328,1.4115,18.21,40.7,2.9548,4.1928
,,18,2.0832,2.3194,1.4155,18.26,40.69,2.9712,4.1972
,,22,2.0838,2.2997,1.4157,18.27,40.68,2.9721,4.2034
,,23,2.0885,2.3112,1.4101,18.19,40.71,2.9787,4.2061
,,24,2.0845,2.3141,1.4159,18.27,40.73,2.9802,4.2159
,,25,2.0784,2.263,1.4186,18.3,40.81,2.9963,4.2158
,,28,2.0704,2.2433,1.4206,18.33,40.87,2.9904,4.2286
,,29,2.074,2.2583,1.4181,18.3,40.66,2.9811,4.2199
,,30,2.0674,2.2662,1.4141,18.25,40.69,2.9833,4.2168
,Oct,1,2.0645,2.2529,1.4116,18.21,40.73,2.99,4.2232
,,2,2.0569,2.2518,1.4141,18.25,40.72,3.0087,4.2199
,,5,2.0649,2.2547,1.4114,18.21,40.72,3.0174,4.2201
,,6,2.0659,2.2438,1.4046,18.12,40.82,3.0197,4.2111
,,7,2.063,2.2306,1.4031,18.1,40.91,3.0068,4.204
,,8,2.0589,2.2314,1.3949,18,41.12,3.002,4.1857
,,9,2.0494,2.2302,1.3918,17.96,41.06,2.9896,4.1764
,,12,2.0606,2.2183,1.4014,18.08,41.12,3.0112,4.2015
,,13,2.0644,2.2045,1.3972,18.03,41.23,3.0038,4.1945
,,14,2.0751,2.2213,1.3939,17.99,41.28,3.0005,4.1903
,,15,2.0729,2.2257,1.3861,17.88,41.41,2.9966,4.1531
,,16,2.0736,2.2735,1.3884,17.91,41.27,2.9916,4.1544
,,19,2.0763,2.2796,1.3953,18,41.23,2.9798,4.1694
,,20,2.0786,2.2758,1.3882,17.91,41.33,2.9838,4.1606
,,21,2.082,2.2873,1.3951,18,41.17,2.9697,4.1726
,,22,2.0926,2.3182,1.3964,18.02,41.2,2.9629,4.1727
,,23,2.0932,2.3175,1.3928,17.97,41.18,2.9593,4.1607
,,26,2.0942,2.267,1.3925,17.97,41.2,2.965,4.1692
,,27,2.0799,2.2817,1.3976,18.03,41.12,2.9635,4.1788
,,28,2.0734,2.2897,1.3995,18.06,40.99,2.9513,4.1832
,,29,2.0664,2.2987,1.4039,18.11,40.85,2.9398,4.1926
,,30,2.0752,2.3153,1.3968,18.02,41,2.9411,4.1795
,Nov,2,2.0677,2.3065,1.4004,18.07,40.86,2.9414,4.1872
,,3,2.0659,2.2879,1.3976,18.03,40.88,2.9343,4.1807
,,4,2.0613,2.2971,1.3998,18.06,40.9,2.9374,4.1866
,,5,2.0731,2.307,1.3975,18.03,40.83,2.9359,4.1816
,,6,2.0746,2.3159,1.3946,17.99,40.92,2.9475,4.1773
,,9,2.0718,2.3206,1.3884,17.91,41.05,2.9534,4.165
,,10,2.0798,2.327,1.3882,17.91,41.1,2.9656,4.1669
,,11,2.0786,2.319,1.3874,17.9,40.95,2.9588,4.167
,,12,2.0802,2.3016,1.3865,17.89,41.04,2.9725,4.1649
,,13,2.0652,2.3053,1.389,17.92,41.08,2.9702,4.1693
,,16,2.0715,2.3134,1.3848,17.87,41.2,2.9777,4.1686
,,17,2.0702,2.3269,1.3845,17.86,41.13,2.965,4.1696
,,18,2.0612,2.3268,1.3858,17.88,41.12,2.9636,4.1728
,,19,2.07,2.3165,1.3874,17.9,41.07,2.9601,4.1802
,,20,2.0715,2.3121,1.3894,17.93,40.91,2.9483,4.183
,,23,2.0724,2.2932,1.3867,17.89,41.01,2.9526,4.1749
,,24,2.0729,2.2984,1.3869,17.9,40.96,2.9461,4.1718
,,25,2.0743,2.2988,1.384,17.86,40.99,2.9585,4.1668
,,26,2.0853,2.3052,1.3796,17.8,40.85,2.951,4.1655
,,30,2.0829,2.2925,1.3828,17.84,40.82,2.9453,4.1644
,Dec,1,2.0788,2.2764,1.3844,17.86,40.83,2.9458,4.1661
,,2,2.083,2.2923,1.38,17.81,40.85,2.9671,4.1616
,,3,2.0846,2.304,1.3812,17.82,40.91,2.9684,4.1697
,,4,2.0824,2.2872,1.3829,17.84,40.88,2.9995,4.1742
,,7,2.0685,2.2902,1.3891,17.92,40.95,3.0145,4.1941
,,8,2.0616,2.2853,1.3891,17.92,40.96,3.0264,4.1859
,,9,2.0536,2.267,1.3938,17.98,40.97,3.0091,4.2001
,,10,2.0469,2.2629,1.3895,17.93,40.9,3.0151,4.1871
,,11,2.0472,2.2679,1.3904,17.94,40.89,3.0151,4.1949
,,14,2.0374,2.2576,1.3929,17.97,40.84,3.0066,4.2024
,,15,2.0391,2.2692,1.3918,17.95,40.86,3.0194,4.2004
,,16,2.0311,2.2705,1.3976,18.02,40.81,3.016,4.2141
,,17,2.0187,2.2778,1.3998,18.05,40.75,3.0128,4.2118
,,18,2.0152,2.2669,1.4006,18.06,40.74,3.0017,4.2155
,,21,2.0144,2.2669,1.4033,18.09,40.84,3.0101,4.223
,,22,2.0102,2.2577,1.4064,18.13,40.9,3.0171,4.2298
,,23,2.0117,2.2521,1.4112,18.2,41.05,3.0329,4.2378
,,24,2.0183,2.2494,1.4072,18.15,41.03,3.0334,4.2201
,,28,2.0237,2.2441,1.406,18.13,41.05,3.0313,4.2121
,,29,2.0212,2.2525,1.4078,18.15,40.96,3.0262,4.2194
,,30,2.0143,2.2351,1.4067,18.14,40.99,3.0284,4.2174
,,31,2.0163,2.2541,1.4034,18.1,40.97,3.0406,4.2094
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2010,Jan,4,2.0042,2.2572,1.4038,18.1,41.05,3.0445,4.2137
,,5,2.0145,2.2471,1.3969,18.01,41.22,3.0467,4.2113
,,6,2.0051,2.2318,1.3966,18.01,41.24,3.0372,4.213
,,7,2.0088,2.2324,1.3942,17.98,41.38,3.0421,4.2102
,,8,2.0012,2.2286,1.3982,18.03,41.39,3.0505,4.2172
,,11,2.0158,2.2334,1.388,17.9,41.65,3.0495,4.201
,,12,2.0143,2.237,1.391,17.94,41.59,3.0439,4.2069
,,13,2.0124,2.2462,1.3897,17.92,41.49,3.036,4.2048
,,14,2.0154,2.2586,1.3864,17.87,41.6,3.0302,4.2108
,,15,2.004,2.2676,1.3886,17.9,41.57,3.0322,4.2252
,,18,1.998,2.268,1.3905,17.92,41.59,3.0279,4.2309
,,19,1.9979,2.2779,1.3878,17.87,41.59,3.0273,4.2298
,,20,1.981,2.2741,1.3937,17.95,41.58,3.0395,4.2355
,,21,1.9719,2.2761,1.3994,18.01,41.53,3.0372,4.2458
,,22,1.983,2.2767,1.4045,18.07,41.37,3.0325,4.2516
,,25,1.9844,2.2576,1.4017,18.03,41.16,3.0333,4.2431
,,26,1.9784,2.2733,1.4012,18.03,41.17,3.0159,4.2493
,,27,1.9744,2.262,1.4019,18.03,40.98,3.0087,4.245
,,28,1.9664,2.2733,1.4026,18.05,41.12,3.0073,4.2426
,,29,1.9601,2.2677,1.4046,18.08,41.15,3.0109,4.2403
,Feb,1,1.9566,2.2492,1.4111,18.17,41.32,3.0207,4.2452
,,2,1.9611,2.2484,1.4117,18.17,41.25,3.0323,4.2566
,,3,1.9685,2.2534,1.4097,18.15,41.35,3.049,4.2621
,,4,1.9613,2.2465,1.4122,18.18,41.32,3.0607,4.2658
,,5,1.9482,2.2361,1.4203,18.28,41.27,3.0561,4.2793
,,8,1.9391,2.2188,1.4216,18.29,41.31,3.0449,4.2832
,,9,1.9446,2.2176,1.4217,18.3,41.32,3.0476,4.2835
,,10,1.9523,2.2241,1.4187,18.26,41.34,3.0602,4.2777
,,11,1.9473,2.2093,1.4124,18.18,41.27,3.0515,4.26
,,12,1.9312,2.2144,1.4124,18.18,41.29,3.0509,4.2574
,,17,1.9325,2.2129,1.4035,18.07,41.43,3.0561,4.2351
,,18,1.914,2.2078,1.4094,18.14,41.47,3.0546,4.2471
,,19,1.9058,2.1812,1.4135,18.2,41.43,3.0509,4.2543
,,22,1.9208,2.1801,1.4075,18.13,41.43,3.0522,4.2471
,,23,1.9177,2.1858,1.4083,18.14,41.43,3.0502,4.2476
,,24,1.9093,2.178,1.4096,18.16,41.43,3.0521,4.2605
,,25,1.9024,2.1681,1.4117,18.18,41.42,3.0513,4.2727
,,26,1.9132,2.1516,1.4087,18.15,41.4,3.0511,4.2591
,Mar,1,1.9124,2.1312,1.4048,18.1,41.45,3.0476,4.2654
,,2,1.9023,2.0981,1.4065,18.11,41.53,3.0516,4.2829
,,3,1.9105,2.1088,1.4012,18.05,41.53,3.0439,4.2896
,,4,1.9155,2.1112,1.3998,18.03,41.52,3.0421,4.286
,,5,1.9053,2.1087,1.4019,18.06,41.64,3.0438,4.2931
,,8,1.9148,2.1227,1.3994,18.03,41.86,3.0465,4.2893
,,9,1.9094,2.1045,1.4005,18.05,41.93,3.0612,4.2783
,,10,1.9026,2.094,1.3991,18.03,42.06,3.066,4.2779
,,11,1.9075,2.0928,1.3993,18.03,42.13,3.0601,4.2858
,,12,1.9132,2.105,1.3973,18.01,42.26,3.0597,4.2764
,,15,1.9197,2.1192,1.3978,18.02,42.11,3.0533,4.2858
,,16,1.9126,2.1032,1.3967,18,42.03,3.0549,4.3028
,,17,1.9211,2.1234,1.3942,17.96,42.19,3.0484,4.3051
,,18,1.9112,2.1323,1.3932,17.95,42.2,3.0539,4.3146
,,19,1.9011,2.1273,1.3956,17.99,42.22,3.0609,4.3174
,,22,1.8911,2.092,1.3999,18.04,42.16,3.0656,4.328
,,23,1.8977,2.1127,1.3996,18.03,42.19,3.0747,4.3298
,,24,1.8872,2.1023,1.4019,18.06,42.3,3.0767,4.3335
,,25,1.8754,2.0958,1.4066,18.12,42.29,3.0819,4.3427
,,26,1.8756,2.0932,1.4065,18.12,42.46,3.0887,4.3357
,,29,1.8844,2.0924,1.4022,18.06,42.7,3.0935,4.3325
,,30,1.8855,2.0966,1.3978,18,42.88,3.0911,4.3215
,,31,1.8789,2.1143,1.4028,18.07,42.85,3.096,4.333
,Apr,1,1.8899,2.126,1.3989,18.01,42.95,3.0959,4.3256
,,5,1.8908,2.1352,1.3982,18,43.26,3.1035,4.3188
,,6,1.877,2.1286,1.3977,18,43.51,3.1126,4.3139
,,7,1.8694,2.1297,1.396,17.98,43.69,3.1178,4.3153
,,8,1.8628,2.1265,1.3969,17.99,43.53,3.1153,4.3167
,,9,1.8635,2.131,1.3947,17.98,43.7,3.1125,4.3193
,,12,1.8957,2.1462,1.3885,17.9,43.56,3.1054,4.3054
,,13,1.892,2.138,1.3935,17.96,43.16,3.1115,4.3116
,,14,1.8824,2.1251,1.3778,17.76,43.03,3.095,4.263
,,15,1.874,2.129,1.3731,17.69,43.09,3.0981,4.2485
,,16,1.8668,2.1266,1.3783,17.76,42.96,3.0997,4.2705
,,19,1.857,2.1045,1.3792,17.77,42.83,3.0908,4.2627
,,20,1.8554,2.1094,1.3767,17.74,42.92,3.0875,4.2688
,,21,1.842,2.1078,1.3728,17.68,43,3.0919,4.2766
,,22,1.8384,2.1181,1.373,17.69,42.86,3.0937,4.2646
,,23,1.8179,2.1095,1.3742,17.7,42.91,3.0937,4.2525
,,26,1.8297,2.1114,1.3684,17.63,43.07,3.0956,4.2517
,,27,1.8301,2.1138,1.3678,17.62,42.95,3.0886,4.2406
,,28,1.8121,2.0952,1.3718,17.67,42.86,3.0748,4.2471
,,29,1.8131,2.0809,1.3721,17.67,42.81,3.0747,4.244
,,30,1.8135,2.1003,1.3682,17.62,42.88,3.0718,4.2339
,May,3,1.8147,2.0938,1.373,17.68,42.78,3.0854,4.2422
,,4,1.8097,2.0914,1.3707,17.66,42.77,3.0801,4.2456
,,5,1.7925,2.0942,1.3833,17.81,42.75,3.072,4.286
